##;##
@LiveGraph demo file.
Generation;Best;Average;Avg.worst-100;Avg.worst-in-Generations 100
232;1213;1357;1626;2305
233;1203;1351;1602;2305
234;1203;1360;1647;2305
235;1203;1360;1638;2305
236;1203;1357;1632;2305
237;1203;1352;1604;2305
238;1203;1354;1630;2305
239;1203;1344;1583;2305
240;1203;1350;1617;2305
241;1203;1351;1621;2305
242;1203;1357;1648;2305
243;1203;1345;1600;2305
244;1203;1345;1604;2305
245;1203;1351;1635;2305
246;1189;1338;1579;2305
247;1189;1348;1632;2305
248;1189;1337;1577;2305
249;1189;1344;1619;2305
250;1189;1332;1565;2305
251;1189;1345;1631;2305
252;1189;1337;1591;2305
253;1189;1345;1642;2305
254;1189;1335;1594;2305
255;1189;1334;1592;2305
256;1189;1336;1596;2305
257;1174;1346;1651;2305
258;1174;1337;1609;2305
259;1174;1341;1636;2305
260;1174;1333;1599;2305
261;1174;1330;1586;2305
262;1174;1335;1613;2305
263;1174;1329;1588;2305
264;1174;1330;1594;2305
265;1174;1334;1621;2305
266;1174;1335;1625;2305
267;1120;1338;1652;2305
268;1120;1335;1640;2305
269;1120;1325;1593;2305
270;1120;1332;1618;2305
271;1120;1325;1585;2305
272;1120;1324;1591;2305
273;1120;1326;1604;2305
274;1120;1330;1628;2305
275;1120;1325;1603;2305
276;1120;1328;1613;2305
277;1120;1321;1583;2305
278;1117;1316;1578;2305
279;1117;1323;1617;2305
280;1117;1323;1612;2305
281;1117;1329;1645;2305
282;1117;1325;1631;2305
283;1117;1314;1575;2305
284;1117;1316;1597;2305
285;1117;1315;1594;2305
286;1117;1309;1565;2305
287;1117;1312;1586;2305
288;1117;1308;1564;2305
289;1117;1308;1569;2305
290;1117;1306;1566;2305
291;1117;1304;1557;2305
292;1117;1302;1551;2305
293;1117;1307;1586;2305
294;1117;1305;1573;2305
295;1117;1307;1579;2305
296;1117;1310;1600;2305
297;1117;1305;1572;2305
298;1117;1304;1584;2305
299;1117;1301;1572;2305
300;1117;1304;1587;2225
301;1117;1302;1575;2225
302;1117;1307;1610;2225
303;1117;1300;1578;2225
304;1117;1306;1613;2225
305;1117;1308;1621;2225
306;1117;1291;1540;2225
307;1117;1300;1585;2225
308;1117;1290;1538;2225
309;1117;1291;1551;2225
310;1117;1297;1581;2225
311;1117;1296;1573;2225
312;1117;1283;1518;2225
313;1117;1300;1593;2225
314;1117;1286;1529;2225
315;1110;1281;1520;2225
316;1110;1293;1576;2225
317;1110;1287;1549;2225
318;1110;1300;1614;2225
